rank	word	count
480	dolara	57300
481	njom	57299
482	mom	57295
483	njemu	57214
484	pitam	57194
485	morate	57103
486	takođe	56934
488	voleo	56792
489	ce	56769
491	najbolje	55540
492	problema	55421
493	oca	55188
494	uskoro	55138
495	sjajno	55030
496	са	54903
497	nekoga	54858
498	jednostavno	54785
499	gotovo	54667
500	су	54596
501	čega	54575
502	trenutak	54544
503	potpuno	54542
504	drži	54325
505	sigurna	54312
506	tada	54268
507	ovoga	54142
508	uopšte	54055
509	dobiti	53912
510	briga	53875
511	otići	53829
513	brini	53578
514	ranije	53573
515	ju	53483
516	stalno	53260
517	došla	53240
518	bog	52989
519	našao	52939
520	ponekad	52801
521	kakva	52795
522	strane	52705
523	ljubav	52601
524	moći	52547
525	htela	52539
527	naša	52477
529	kuću	52328
530	tek	52270
531	osećam	52260
532	valjda	52254
533	noći	52251
534	halo	52238
535	želeo	52149
536	spreman	52000
537	životu	51795
538	poput	51766
539	lako	51703
540	pričaš	51617
541	devojka	51422
542	između	51420
543	uradim	51137
544	morao	51002
545	trebali	50994
546	jedini	50955
547	али	50856
548	ideja	50823
549	trebala	50731
552	ozbiljno	50150
553	čudno	50123
554	uh	49786
555	nećemo	49575
556	druge	49503
557	pola	49183
559	prijatelji	48861
560	videti	48854
561	glavu	48831
562	pretpostavljam	48816
563	čoveka	48797
564	hoćete	48758
565	ubiti	48744
566	svet	48725
567	prava	48655
568	zvuči	48610
569	oči	48589
572	mala	48402
573	pored	48331
574	dr	48313
576	draga	47986
577	pred	47963
579	tvog	47935
580	kraj	47863
581	velika	47790
582	biste	47779
583	jasno	47770
584	slučaj	47733
585	ovoj	47613
586	svih	47542
587	gledaj	47519
588	kažu	47284
589	kola	47133
590	najbolji	47124
591	događa	47082
592	voliš	47053
594	pazi	46976
595	svetu	46911
596	slučaju	46903
597	ikada	46844
598	sata	46604
599	oprosti	46547
600	mojoj	46424
601	stari	46297
603	ljudima	46248
605	osoba	46207
606	čujem	46127
607	polako	46097
608	ruku	46004
609	negde	45995
610	učiniti	45927
611	dvoje	45747
613	kraju	45637
616	prilično	45283
617	nedelje	45231
618	vratio	45211
619	van	45161
620	није	44947
621	uradi	44658
622	svega	44606
623	што	44497
624	ceo	44444
625	moguće	44429
627	svom	43956
628	dati	43876
630	lice	43598
631	smrt	43538
632	gospođo	43521
633	moji	43503
634	izgledaš	43471
635	videli	42996
636	neku	42835
637	vodi	42785
639	plan	42564
640	policija	42549
641	smrti	42400
642	sina	42301
643	pojma	42270
644	šanse	42255
645	sobu	42157
646	no	42066
647	manje	41812
648	nje	41689
649	brod	41673
651	novca	41514
652	žele	41437
653	netko	41429
654	gospodo	41420
655	ostati	41342
656	vidjeti	41335
657	sinoć	41116
658	oprostite	41091
659	svima	41003
660	reč	40979
661	само	40869
662	momak	40759
663	од	40710
664	čula	40683
665	našli	40643
666	pitanja	40155
667	važi	40117
668	bile	40063
669	mojim	40058
670	drugog	39981
671	razlog	39959
672	dečko	39718
673	га	39703
674	vidio	39538
675	napolje	39421
676	potrebno	39354
677	oružje	39245
678	njen	39229
679	pomognem	39226
680	dragi	39226
682	ово	39174
683	sobi	39172
684	dođe	39123
