lat	cyr	pos	ekav	gloss
anizokorija				анизокория
anizotropija				анизотропия
anjon				анион
anketa				анкета
anoda				анод
anodirati				анодировать
anomalan				аномальный
anormalnost				ненормальность
anosmija				аносмия
anotirati				аннотировать
antena				антенна
antiamerikanizam				антиамериканизм
antibavarski				антибаварский
antibiotik				антибиотик
antiboljševički				антибольшевистский
anticiklon				антициклон
antidemokratski				антидемократический
antidepresiv				антидепрессант
antifašist				антифашист
antifašistički				антифашистский
antifeminizam				антифеминизм
antiglobalizam				антиглобализм
antihigijenski				антигигиенический
antiimperijalistički				антиимпериалистический
antika				античность
antikapitalistički				антикапиталистический
antikineski				антикитайский
antiklerikalizam				антиклерикализм
antiklinala				антиклиналь
antikomunist				антикоммунист
antikomunista				антикоммунист
antikomunistički				антикоммунистический
antikomunistkinja				антикоммунистка
antikomunizam				антикоммунизм
antikvark				антикварк
antikvarni				букинистический
antikvarski				антикварный, букинистический
antikvitet				древность
antimarksista				антимарксист
antimaterija				антиматерия
antimaterijalistički				антиматериалистический
antimilitarizam				антимилитаризм
antimonopolski				антимонопольный
antinaučnost				антинаучность
antineutrino				антинейтрино
antinomija				антиномия
antipod				антипод
antiproton				антипротон
antipsihijatrija				антипсихиатрия
antiputinovski				антипутинский
antireligiozan				антирелигиозный
antisemitizam				антисемитизм
antiseptičan				антисептический
antisocijalan				антисоциальный
antisovjetski				антисоветский
antistaljinistički				антисталинистский
antistaljinički				антисталинистский
antitijelo				антитело
antiutopija				антиутопия
antivladin				антиправительственный
antičestica				античастица
antologija				антология
antonim				антоним
antonomazija				антономасия
antropocentrizam				антропоцентризм
antropolingvistika				антрополингвистика
antropolog				антрополог
antropomorfan				антропоморфный, человекоподобный
antropomorfizam				антропоморфизм
antroponimija				антропонимика
antwerpen				антверпен
anuitet				аннуитет
anus				анус
anđeo				ангел
aorta				аорта
aparat				аппарат
aparatura				аппаратура
aparthejd				апартеид
apel				обращение, призыв
apelovati				обращаться
apercepcija				апперцепция
apetit				аппетит
aphaska				абхазка
aphaski				абхазский
aphaz				абхаз, абхазец
aplauze				аккламация
apofonija				аблаут
apoteka				аптека
apotekar				аптекарь
apraksija				апраксия
april				апрель
aproksimacija				аппроксимация
apsces				абсцесс
apscisa				абсцисса
apsida				абсида
apsint				абсент
apsolut				абсолют
apsolutan				абсолютный
apsolutistički				абсолютистский
apsolutizam				абсолютизм
apsolutno				абсолютно
apsorbirati				абсорбировать
apsorbovati				абсорбировать
apsorpcija				абсорбция
apstinencija				абсентеизм
apstrahirati				абстрагировать
apstrahovati				абстрагировать
apstrakcija				абстракция
apstrakcionist				абстракционист, абстракционистка
apstrakcionista				абстракционист, абстракционистка
apstrakcionizam				абстракционизм
apstraktan				абстрактный
apstraktno				абстрактно
apstraktnost				абстрактность
apsurd				абсурд, бессмыслица
apsurdan				абсурдный, неразумный
apsurdnost				абсурдность, глупость
ar				ар
ara				алтарь, ара
arabist				арабист
arabljanin				араб
aragon				арагон
arahnologija				арахнология
arbitraža				арбитраж
arcah				арцах
argentina				аргентина
argon				аргон
argument				аргумент, мотив
arhangeljsk				архангельск
arhanđel				архангел
arhanđeo				архангел
arheolog				археолог
arheologija				археология
arheološki				археологический
arhimandrit				архимандрит
arhipelag				архипелаг
arhitekt				архитектор
arhitekta				архитектор
arhiv				архив
arhiva				архив
arhivirati				архивировать
arija				ария
aristokracija				аристократия
aristokrat				аристократ
aristolochiaceae				кирказоновые
aristotelizam				аристотелизм
aritmetika				арифметика
aritmetički				арифметический
arizona				аризона
arkansas				арканзас
arkanzas				арканзас
arkebuza				аркебуза
arktik				арктика
arktički				арктический
armadilo				броненосец
armavir				армавир
armenac				армянин
armenija				армения
armija				армия
arnost				арность
arogancija				высокомерие
arogantnost				надменность
arsen				мышьяк
arsk				арск
arterija				артерия
artikulacija				артикуляция
artiljerija				артиллерия
artiljerijski				артиллерийский
artičoka				артишок
artroskopija				артроскопия
aseksualnost				асексуальность
asfalt				асфальт
asimetričan				асимметричный
asimptota				асимптота
asimptotičan				асимптотический
asistirati				помогать
asonanca				ассонанс
aspirant				аспирант
astal				стол
astat				астат
astatičan				астатический
astenija				астения
asterisk				астериск
asteroid				астероид
astma				астма
astmatičan				астматический
astragan				каракуль
astrobiolog				астробиолог
astrobiologija				астробиология, экзобиология
astroida				астроида
astrolab				астролябия
astrologija				астрология
astronomija				астрономия
