order	lemma	pos	spoken	web	forms	sentences	gloss
714	avet	NOUN	1418	655	15	0	призрак, привидение
715	đavolji	ADJ	1414	1319	60	0	чертовский, дьявольский; ни к чёрту не годный, негодный, никудышный
716	gubica	NOUN	1413	208	15	0	морда
717	mučnina	NOUN	1412	3342	15	0	тошнота
718	brašno	NOUN	1404	11423	15	0	мука́
719	ćutanje	NOUN	1401	5540	15	0	молчание
720	lešinar	NOUN	1387	789	17	0	гриф, стервятник
721	staklen	ADJ	1387	9566	191	0	стеклянный
722	krastavac	NOUN	1381	2836	14	0	ботан. огурец (Cucumis sativus)
723	pamuk	NOUN	1376	2004	15	0	ботан. хлопок, хлопчатник
724	foka	NOUN	1359	837	15	0	зоол. тюлень
725	takozvani	ADJ	1356	28564	63	0	так называемый
726	tradicionalan	ADJ	1344	44395	191	0	традиционный
727	odaja	NOUN	1337	1879	15	0	помещение, комната
728	skica	NOUN	1336	3120	15	0	искусств. набросок, скетч, эскиз
729	kupus	NOUN	1333	5330	15	0	капуста
730	pirinač	NOUN	1327	2548	15	1	рег. (sr) рис
731	plesač	NOUN	1327	1395	15	0	танцор
732	kvaka	NOUN	1318	1350	15	0	дверная ручка
733	izbeglica	NOUN	1307	11978	58	0	беженец
734	hrišćanski	ADJ	1297	21835	184	0	христианский
735	beznačajan	ADJ	1287	3337	191	0	незначительный
736	književnost	NOUN	1286	32743	15	0	литература
737	jarac	NOUN	1285	3016	14	0	зоол. козёл
738	sočivo	NOUN	1280	4986	15	1	чечевица
739	puž	NOUN	1273	1884	15	0	зоол. улитка
740	prisutnost	NOUN	1267	3137	15	0	присутствие
741	naglasiti	VERB	1264	57635	102	0	подчеркнуть, выделить
742	krvoproliće	NOUN	1257	1351	15	0	кровопролитие
743	jednačina	NOUN	1235	3478	15	0	матем. уравнение
744	sveučilište	NOUN	1229	997	15	0	университет
745	brijati	VERB	1227	873	102	0	брить
746	svagda	ADV	1226	2806	1	0	всегда
747	afrički	ADJ	1223	7253	184	0	африканский
748	ucenjivati	VERB	1216	3092	204	0	шантажировать
749	žeđ	NOUN	1214	2727	15	0	жажда
750	uže	NOUN	1211	1573	15	0	верёвка
751	usamljenost	NOUN	1209	2032	15	1	одиночество
752	kišan	ADJ	1207	3645	191	1	дождливый
753	grkljan	NOUN	1203	588	15	0	анат. гортань
754	jagnje	NOUN	1200	2373	14	1	ягнёнок
755	trougao	NOUN	1199	4077	20	2	геометр. треугольник
756	razočarenje	NOUN	1195	3127	15	0	разочарование
757	šišmiš	NOUN	1190	189	15	0	зоол. летучая мышь
758	prestonica	NOUN	1184	18255	16	0	столица
759	neočekivan	ADJ	1179	6870	191	0	неожиданный
760	pokrivač	NOUN	1176	3457	16	0	одеяло
761	osnivač	NOUN	1170	26044	15	0	основатель
762	funkcionisati	VERB	1170	7919	29	0	функционировать
763	besmrtnost	NOUN	1166	1650	15	0	бессмертие
764	čest	ADJ	1165	38255	191	30	частый
765	bilijar	NOUN	1163	1022	15	1	бильярд
766	uvis	ADV	1163	1109	1	1	вверх, наверх
767	industrijski	ADJ	1162	32487	184	0	промышленный, индустриальный
768	burazer	NOUN	1156	912	43	0	?
769	burka	NOUN	1152	328	16	0	?
770	tenzija	NOUN	1146	7482	15	0	физ., эл.-техн. напряжение; натяжение
771	saosećanje	NOUN	1145	1733	30	0	сострадание, сочувствие, сопереживание
772	sveska	NOUN	1143	4320	16	1	блокнот
773	amandman	NOUN	1141	42772	15	0	поправка
774	poslodavac	NOUN	1136	35820	14	0	работодатель, наниматель
775	luksuz	NOUN	1128	5816	15	0	великолепие
776	truo	ADJ	1127	3236	191	0	гнилой
777	mazga	NOUN	1126	491	16	0	зоол. лошак (Equus hinnus)
778	lubanja	NOUN	1126	153	15	0	череп
779	kopirati	VERB	1124	5826	109	0	копировать
780	tekućina	NOUN	1116	579	15	0	жидкость
781	senf	NOUN	1109	948	16	0	горчица
782	uspravno	ADV	1107	1360	3	0	вертикально, по вертикали
783	elektrana	NOUN	1103	8479	15	0	электростанция
784	remi	NOUN	1097	3305	15	0	спорт. ничья
785	gljiva	NOUN	1090	4486	15	1	гриб
786	korisnik	NOUN	1087	158756	15	0	пользователь
787	slan	ADJ	1084	4641	191	1	солёный
788	mesar	NOUN	1079	878	17	0	мясник
789	smanjenje	NOUN	1072	50215	15	0	уменьшение
790	fetus	NOUN	1071	1580	15	0	биол., мед., анат. плод, эмбрион, зародыш
791	đak	NOUN	1071	24778	15	0	ученик
792	nejasan	ADJ	1070	6153	191	0	неясный
793	kostur	NOUN	1066	1810	15	0	?
794	bombarder	NOUN	1059	1433	15	0	воен. бомбардировщик
795	breskva	NOUN	1058	2014	18	0	персик (плод)
796	šut	NOUN	1050	8746	24	0	спорт. бросок, удар (по мячу)
797	obveznica	NOUN	1049	11059	15	0	фин. облигация
798	novinarka	NOUN	1043	5434	17	0	журналистка
799	lakat	NOUN	1040	3478	24	2	анат. локоть
800	trostruk	ADJ	1037	2376	191	0	тройной
801	amajlija	NOUN	1034	692	15	0	талисман, амулет
802	kovač	NOUN	1030	1895	15	0	славянская фамилия
803	šaputati	VERB	1018	1717	109	1	шептать; подсказывать
804	porudžbina	NOUN	1016	3516	15	0	заказ
805	fotografisati	VERB	1013	5063	109	0	фотографировать
806	nedeljni	ADJ	1012	6644	120	3	еженедельный
807	pomračenje	NOUN	1010	1983	15	0	астрон. затмение
808	lubenica	NOUN	1002	2201	14	1	ботан. арбуз
809	divljenje	NOUN	992	3183	15	0	восхищение
810	buva	NOUN	990	1247	15	0	энтомол. блоха
811	okrutnost	NOUN	984	576	15	0	жестокость
812	poljski	ADJ	983	14807	184	2	полевой
813	bubašvaba	NOUN	979	571	15	1	энтомол. таракан
814	cimet	NOUN	972	1860	15	0	корица
815	diplomatski	ADJ	971	15484	184	0	дипломатический
816	riža	NOUN	961	568	15	0	рис
817	zelje	NOUN	955	2361	15	0	капуста
818	elektricitet	NOUN	951	1104	15	1	физ. электричество
819	suša	NOUN	941	7036	15	1	засуха
820	vulkanski	ADJ	940	1575	62	0	вулканический
821	dobijanje	NOUN	939	23718	15	0	получение
822	svemoguć	ADJ	935	1141	69	0	всемогущий; всесильный, всемощный
823	egzotičan	ADJ	928	4647	191	0	экзотичный; экзотический
